label,verb_count,verb_sample	
ai,26,تتناول	
ai,34,لفهم	
ai,34,قيماً	
ai,34,تعتبر	
ai,34,أن	
ai,34,إلى	
ai,34,وتشير	
ai,34,تلك	
ai,34,منطقة	
ai,34,تبرز	
ai,34,اعتمد	
ai,34,جيش	
ai,34,يظهر	
ai,34,أهل	
ai,34,نشر	
ai,34,حركة	
ai,34,دور	
ai,34,أيضاً	
ai,34,يبرز	
ai,34,سيدي	
ai,34,بين	
ai,34,جبل	
ai,34,مثل	
ai,34,قام	
ai,34,يسلط	
ai,34,كان	
ai,34,الذي	
ai,34,يستند	
ai,24,ساهم	
ai,24,اعتمدت	
ai,24,يُظهر	
ai,24,ساهمت	
ai,24,نشاط	
ai,24,تغلغل	
ai,24,ويبرز	
ai,24,وقعت	
ai,24,حية	
ai,24,يستعرض	
ai,24,ضمن	
ai,24,يتناول	
ai,37,ويُشجع	
ai,37,أوسع	
ai,37,فهماً	
ai,37,يوفر	
ai,37,أعمق	
ai,37,فهم	
ai,37,يناقش	
ai,37,عبر	
ai,37,وكشفت	
ai,37,بني	
ai,37,نقلت	
ai,37,أهم	
ai,37,يُعتبر	
ai,37,وتعتمد	
ai,37,انتقلت	
ai,37,وتميزها	
ai,37,أسهمت	
ai,37,تهدف	
ai,37,ارتكبها	
ai,37,لسلسلة	
ai,37,ونزلت	
ai,37,فيهم	
ai,37,أُرسل	
ai,37,تنبع	
ai,37,وأثرها	
ai,37,الأمة	
ai,37,نظراً	
ai,37,يشغل	
ai,19,حكمت	
ai,19,إثارة	
ai,19,يهدف	
ai,19,أسسها	
ai,19,نكور	
ai,19,وإمارة	
ai,19,صالح	
ai,19,بعض	
ai,19,يركز	
ai,19,جزر	
ai,19,غرب	
ai,19,سيوة	
ai,42,وال	
ai,42,ال	
ai,42,واحدا	
ai,42,ويبقى	
ai,42,أجل	
ai,42,أحد	
ai,42,لكن	
ai,42,يسعى	
ai,42,وتطوره	
ai,42,تواجد	
ai,42,عن	
ai,42,كثَت	
ai,42,سال	
ai,42,لتحل	
ai,42,وتنقرض	
ai,42,فيتوسع	
ai,42,توسع	
ai,42,حسب	
ai,42,تتقلص	
ai,42,فتزيد	
ai,42,نقط	
ai,42,آن	
ai,42,تعيش	
ai,42,ويغار	
ai,42,تغَت	
ai,42,كانت	
ai,42,اسم	
ai,42,تأخذ	
ai,42,أرض	
ai,42,كل	
ai,42,كما	
ai,42,تكن	
ai,42,مل	
ai,42,كلية	
ai,42,ابن	
ai,42,جامعة	
ai,10,غير	
ai,10,سيتم	
ai,10,تواجه	
ai,10,يعتمد	
ai,45,يعتبر	
ai,45,يُشدد	
ai,45,شهد	
ai,45,نظرة	
ai,45,يُقدم	
ai,45,فترة	
ai,45,احتلوا	
ai,45,يُشير	
ai,45,مر	
ai,45,يبقى	
ai,45,عمقه	
ai,45,تتغير	
ai,23,حكم	
ai,23,يتطرق	
ai,23,تعاقبت	
ai,23,يتساءل	
ai,23,تعاقب	
ai,23,شرقاً	
ai,23,تمتد	
ai,25,تذلل	
ai,25,حاجته	
ai,25,كاشفا	
ai,25,يصارح	
ai,25,وضعف	
ai,25,إلا	
ai,25,ركزت	
ai,25,باحثة	
ai,25,جليًا	
ai,25,أكثر	
ai,25,وتقصره	
ai,25,ترى	
ai,25,تجاوز	
ai,25,وتسعى	
ai,25,انتهجه	
ai,25,وقد	
ai,25,السنة	
ai,12,بارز	
ai,12,سعد	
ai,12,لأبي	
ai,12,فلسفة	
ai,11,يمكننا	
ai,11,قابل	
ai,11,وغير	
ai,11,واضح	
ai,24,وتعزز	
ai,24,تدفق	
ai,24,تدعم	
ai,24,تسلط	
ai,24,يُسهم	
ai,24,تكلفة	
ai,24,ويقلل	
ai,24,قدرة	
ai,24,يعزز	
ai,24,تشير	
ai,24,تشمل	
ai,24,يسمح	
ai,24,تستخدم	
ai,24,تعتمد	
ai,24,وتوافر	
ai,24,حول	
ai,24,تتمحور	
ai,24,تلعبه	
ai,22,ويسهم	
ai,22,تحسين	
ai,22,تساهم	
ai,22,يتوقع	
ai,22,يؤدي	
ai,22,دورًا	
ai,22,يلعب	
ai,22,توافر	
ai,22,تظهر	
ai,22,وحركة	
ai,22,يستخدم	
ai,22,يُعد	
ai,12,تعزز	
ai,12,تماثل	
ai,12,عدم	
ai,12,وتقلل	
ai,12,للفهم	
ai,12,تدرس	
ai,12,تستكشف	
ai,35,أبي	
ai,35,يساهم	
ai,35,دوراً	
ai,35,يؤثر	
ai,22,وتؤسس	
ai,22,تتخطى	
ai,22,وجعلها	
ai,22,ذاكرة	
ai,22,ينتهي	
ai,22,وعي	
ai,22,لخلق	
ai,22,كأداة	
ai,22,يمكن	
ai,22,تسعى	
ai,22,ينطلق	
ai,22,للأمة	
ai,22,تناول	
ai,10,تواصل	
ai,10,واضحة	
ai,10,صورة	
ai,10,يقدم	
ai,10,جانب	
ai,17,تونس	
ai,17,نحو	
ai,17,توجههم	
ai,17,أدى	
ai,17,آمن	
ai,17,دفع	
ai,17,قبل	
ai,17,تعرضت	
ai,17,يشير	
ai,14,وتحسين	
ai,14,ويزيد	
ai,14,قدرتهم	
ai,14,دعم	
ai,29,استفادة	
ai,29,أقصى	
ai,29,توصي	
ai,29,توجهها	
ai,29,يدعم	
ai,29,تتوقع	
ai,29,هناك	
ai,29,رضا	
ai,29,تضمن	
ai,29,عينة	
ai,29,موجه	
ai,29,جمع	
ai,29,تم	
ai,31,وتأثر	
ai,31,دعا	
ai,31,آخر	
ai,31,سببًا	
ai,31,دفعت	
ai,31,وإدارة	
ai,31,وبعضها	
ai,31,بعضها	
ai,31,فرضها	
ai,31,موجة	
ai,31,تناقش	
ai,42,يُبرز	
ai,42,دعت	
ai,42,لهجرة	
ai,42,أيضًا	
ai,42,لعبت	
ai,42,وتأثروا	
ai,42,الأمن	
ai,42,هربًا	
ai,42,انتقل	
ai,42,ملجأ	
ai,42,يبحثون	
ai,42,ورأوهم	
ai,42,سخط	
ai,42,تناولت	
ai,29,واسعة	
ai,29,هجرة	
ai,29,انخرط	
ai,29,توضح	
ai,29,حث	
ai,29,أُعطي	
ai,29,إضافة	
ai,29,آمنة	
ai,6,يدل	
ai,9,ونشر	
ai,9,قيمة	
ai,9,ودوره	
ai,22,وإلى	
ai,22,تتوفر	
ai,22,يجب	
ai,22,سنحاول	
ai,22,قدمه	
ai,22,اكتسب	
ai,22,ونوعية	
ai,22,هويتها	
ai,22,ويحدد	
ai,22,يبين	
ai,14,الفهم	
ai,14,هامًا	
ai,14,يعد	
ai,14,يحتوي	
ai,22,يعكس	
ai,22,ليتسنى	
ai,22,يتحلى	
ai,22,تستعرض	
ai,22,ودورها	
ai,22,وتنوع	
ai,22,تعكس	
ai,22,دوره	
ai,15,يعطي	
ai,15,وتضامن	
ai,15,يتيح	
ai,15,أبرز	
ai,15,واحد	
ai,15,صف	
ai,37,وتقدم	
ai,37,توفر	
ai,37,ودعم	
ai,37,تؤثر	
ai,37,عدة	
ai,37,أشارت	
ai,37,دقة	
ai,37,يُساعد	
ai,37,أظهرت	
ai,37,أسئلة	
ai,37,شملت	
ai,37,استخدمت	
ai,37,هدف	
ai,37,لتحسين	
ai,37,أداة	
ai,15,نقص	
ai,15,يزال	
ai,15,فإن	
ai,15,تجمع	
ai,24,نقدًا	
ai,24,يكون	
ai,24,كتب	
ai,24,حكموا	
ai,24,يكتب	
ai,24,بارزًا	
ai,24,يتحدث	
ai,24,فهمه	
ai,21,تأثره	
ai,21,حياة	
ai,21,أثرى	
ai,21,فترات	
ai,21,شهدت	
ai,21,يحلل	
ai,30,وابن	
ai,30,ورصد	
ai,30,لعبه	
ai,30,وأهم	
ai,30,بن	
ai,30,أحمد	
ai,36,أرست	
ai,36,نفسه	
ai,36,ويعكس	
ai,36,لدور	
ai,36,ويتناول	
ai,36,تعاوناً	
ai,36,يوضح	
ai,36,فعالة	
ai,36,لهم	
ai,36,بل	
ai,36,يكونوا	
ai,36,لم	
ai,36,ودورهم	
ai,36,يُسلط	
ai,36,عهد	
ai,36,دارت	
ai,16,لبيت	
ai,16,قدمتها	
ai,16,تركز	
ai,16,ودور	
ai,16,حالة	
ai,16,بيت	
ai,25,وتنازع	
ai,25,نقطة	
ai,25,أصبحت	
ai,25,زخمها	
ai,25,فقدت	
ai,25,بعد	
ai,25,انطلقت	
ai,25,لذا	
ai,25,أثرت	
ai,25,دخلت	
ai,25,خطراً	
ai,25,شكلت	
ai,16,واجهتها	
ai,16,تعامل	
ai,16,وتظهر	
ai,16,وتحلل	
ai,24,وسياسياً	
ai,24,نشأت	
ai,24,تتضمن	
ai,24,هاماً	
ai,24,تشكل	
ai,24,وأنها	
ai,24,أبداه	
ai,24,تضمنت	
ai,23,داخل	
ai,23,يوصي	
ai,23,تلعب	
ai,23,توصلت	
ai,23,تتعلق	
ai,23,وشارك	
ai,23,استخدم	
ai,23,عين	
ai,23,تنمية	
ai,14,نظر	
ai,14,وجهة	
ai,14,اعتنقوا	
ai,14,وتتبع	
ai,14,رصد	
ai,30,وضبط	
ai,30,تبني	
ai,30,وتؤكد	
ai,30,إدارة	
ai,30,عجز	
ai,30,فعّال	
ai,30,وعولجت	
ai,30,والبنك	
ai,30,وتوازن	
ai,19,برز	
ai,19,تتبع	
ai,26,لعب	
ai,26,يخلص	
ai,26,ساهموا	
ai,26,وأن	
ai,26,انتشر	
ai,26,لوصف	
ai,18,يأتي	
ai,24,تحت	
ai,24,سيناء	
ai,24,توطين	
ai,24,وافقت	
ai,24,بدأت	
ai,24,تبادل	
ai,24,ربط	
ai,24,وتطور	
ai,24,استمر	
ai,24,أخطر	
ai,24,أبرزها	
ai,24,عدد	
ai,24,لجأوا	
ai,24,ظهرت	
ai,6,عبد	
ai,29,أثار	
ai,29,بينهم	
ai,29,وعين	
ai,29,قسم	
ai,29,تافنة	
ai,29,وتوصل	
ai,29,قاد	
ai,29,أسس	
ai,29,أم	
ai,29,لورقة	
ai,29,واجهوها	
ai,29,ويقدم	
ai,29,أراضيه	
ai,29,ظل	
ai,22,يثير	
ai,22,تذبذب	
ai,22,والذي	
ai,22,وتعيين	
ai,22,وُقِّعَت	
ai,22,لتوطين	
ai,22,بدأ	
ai,22,يتجدد	
ai,22,يظل	
ai,22,مات	
ai,22,تراوحت	
ai,22,لإعادة	
ai,14,تعمل	
ai,14,وتوضح	
ai,14,تطور	
ai,19,لعبته	
ai,19,تدخل	
ai,16,تتدخل	
ai,16,لتقدّم	
ai,35,الأماكن	
ai,35,فهمنا	
ai,35,وحفظ	
ai,35,وتكشف	
ai,35,نقل	
ai,35,ركز	
ai,35,لنشر	
ai,35,جعلها	
ai,35,لتقدم	
ai,35,كانا	
ai,25,لحق	
ai,25,تخوفاً	
ai,25,قبلت	
ai,25,وتجدد	
ai,25,لجؤوا	
ai,25,فكرة	
ai,17,أفضل	
ai,17,سمعة	
ai,17,يتم	
ai,17,رضي	
ai,17,بنِ	
ai,17,عند	
ai,17,حفظ	
ai,28,صحتها	
ai,28,يتعلق	
ai,28,خبر	
ai,28,تشويه	
ai,28,نقد	
ai,34,ويهدف	
ai,34,يلقي	
ai,34,حدث	
ai,34,أظهروا	
ai,34,قتل	
ai,34,تثبت	
ai,34,تنسب	
ai,34,يعالج	
ai,30,نسبتها	
ai,30,جدلاً	
ai,30,أثارت	
ai,30,وهي	
ai,30,أعلن	
ai,30,رجل	
ai,30,سورة	
ai,30,صلى	
ai,30,تضر	
ai,30,تُنقل	
ai,30,ونقد	
ai,47,تحديًا	
ai,47,أوطان	
ai,47,بدلاً	
ai,47,يتطلب	
ai,47,أزمة	
ai,47,حل	
ai,47,يتجلى	
ai,47,تدعو	
ai,47,تدعمها	
ai,47,حد	
ai,47,ترتبط	
ai,47,فشلت	
ai,47,لتسوية	
ai,47,حاولت	
ai,47,برزت	
ai,47,وقلق	
ai,47,ضغط	
ai,47,بينها	
ai,47,يفوق	
ai,47,إعادة	
ai,47,توطنت	
ai,47,توطينهم	
ai,47,واستقرت	
ai,47,قسراً	
ai,47,هُجّروا	
ai,47,تسوية	
ai,47,تكررت	
ai,16,حجم	
ai,16,يحاول	
ai,16,حادًا	
ai,16,تراجعًا	
ai,16,تتوالى	
ai,16,تمثلت	
ai,16,عشر	
ai,36,لحجم	
ai,36,حاولنا	
ai,36,أننا	
ai,36,تعبر	
ai,36,تقدم	
ai,36,تحتاج	
ai,36,تراجع	
ai,36,أدت	
ai,36,وتكتمل	
ai,36,ونقص	
ai,36,يسبقها	
ai,36,تسلسل	
ai,36,تحدث	
ai,36,لها	
ai,36,جرد	
ai,36,يدرس	
ai,23,أدلة	
ai,23,حاول	
ai,23,لتكمل	
ai,23,وتأتي	
ai,23,تسبق	
ai,23,ضربت	
ai,21,تلاها	
ai,21,يهتم	
ai,14,يؤكد	
ai,8,واقع	
ai,21,عبرت	
ai,21,احتوت	
ai,21,عبروا	
ai,21,كشفت	
ai,21,بكل	
ai,21,قاوم	
ai,21,وتآكل	
ai,21,وتشويه	
ai,21,سياسة	
ai,21,اتبعت	
ai,21,قبضتها	
ai,21,أحكمت	
ai,31,يُختتم	
ai,31,وتعكس	
ai,31,هويتة	
ai,31,تعاملت	
ai,18,واجهها	
ai,18,رمزًا	
ai,18,وتمثل	
ai,18,وكشف	
ai,18,استهدف	
ai,18,ترصد	
ai,15,وتجارة	
ai,15,وتحالف	
ai,15,أرسل	
ai,4,تداخل	
ai,14,أنه	
ai,14,الحد	
ai,19,تعد	
ai,19,تناوبت	
ai,19,خدمة	
ai,19,تكشف	
ai,18,استخدمتها	
ai,18,تحول	
ai,18,تتناوب	
ai,18,يستكشف	
ai,21,وآل	
ai,21,آل	
ai,21,تداولت	
ai,21,سلطة	
ai,14,وتبادل	
ai,14,بعثة	
ai,15,سيطرة	
ai,15,وأسسها	
ai,15,استطاعت	
ai,15,تكوينها	
ai,15,واجهت	
ai,15,انعقد	
ai,13,استدامة	
ai,13,ستقدم	
ai,26,وتحفز	
ai,26,تُعزز	
ai,26,أكبر	
ai,26,وتدعو	
ai,26,تحظر	
ai,26,للأزمة	
ai,26,فعّالة	
ai,26,وادي	
ai,26,أثر	
ai,26,تحتاجها	
ai,26,ووصف	
ai,26,بارزة	
ai,26,عقد	
ai,26,لقادة	
ai,26,تحدياً	
ai,26,تمكنت	
ai,18,دورا	
ai,18,أدّى	
ai,18,ظلت	
ai,18,أعظم	
ai,18,ناقش	
ai,18,رسّخ	
ai,18,بارزا	
ai,18,شكّل	
ai,14,تلقي	
ai,14,نتجت	
ai,14,أرسى	
ai,23,كلا	
ai,23,وأسرى	
ai,23,يتمحور	
ai,16,ضعف	
